link,price,area,rooms,floor,floors_in_building,year_built,building_type,building_material,heating,market,finishing,elevator,balcony/garden,parking,city,district,region
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-loggia-ID4yTdK,2481853,87.51,4.0,8,16.0,2028.0,apartment,,urban,PRIMARY,to_completion,1,0,1,gdynia,Kielecka,pomorskie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-taras-bez-prowizji-ID4uiFt,762236,56.15,3.0,1,12.0,2027.0,,,,PRIMARY,to_completion,1,1,1,wroclaw,,dolnoslaskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-42m2-ogrodek-bezposrednio-ID4x6nk,404160,42.1,2.0,0,3.0,2027.0,block,,,PRIMARY,to_completion,1,1,1,bedzin,,slaskie
https://www.otodom.pl/pl/oferta/w-justowska-przytulne-51m-2-pok-park-decjusza-ID4wTdX,750000,51.0,2.0,3,3.0,2001.0,apartment,brick,other,SECONDARY,ready_to_use,0,0,0,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-balkon-bezposrednio-ID4x6nz,576121,63.31,3.0,1,3.0,2027.0,block,,,PRIMARY,to_completion,1,1,1,bedzin,,slaskie
https://www.otodom.pl/pl/oferta/z-ogrodkiem-1-pok-stan-deweloperski-garaz-ID4vPMG,399990,26.15,1.0,0,2.0,2024.0,apartment,other,other,SECONDARY,to_completion,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/strych-poddasze-w-kamienicy-srodmiescie-ID4uYeJ,627000,184.55,3.0,3,3.0,,tenement,brick,,SECONDARY,to_renovation,0,0,1,lodz,,lodzkie
https://www.otodom.pl/pl/oferta/bielany-sloneczne-5-pok-ogrod-2-poziomy-2x-m-post-ID4wQ7s,1285000,107.43,5.0,0,2.0,2021.0,apartment,brick,gas,SECONDARY,ready_to_use,0,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-ID4z72r,639079,63.59,3.0,1,4.0,2026.0,block,breezeblock,urban,PRIMARY,,1,1,0,jelenia-gora,,dolnoslaskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-52m2-bez-posrednikow-ID4uiCx,909748,52.06,2.0,8,12.0,2027.0,,,,PRIMARY,to_completion,1,0,1,wroclaw,,dolnoslaskie
https://www.otodom.pl/pl/oferta/48m2-3pok-po-remoncie-pojezierze-ID4z05D,512000,48.2,3.0,0,4.0,,block,concrete_plate,urban,SECONDARY,ready_to_use,0,1,0,olsztyn,Pojezierze,warminsko-mazurskie
https://www.otodom.pl/pl/oferta/nowe-76-5m-sloneczne-bez-pcc-taras-2xgaraz-kom-lok-ID4uoLq,1349000,76.5,4.0,1,3.0,2024.0,apartment,other,urban,SECONDARY,ready_to_use,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/72-m2-gdansk-siedlce-4-pokoje-20-m2-taras-ostatnie-6-pietro-eks-s-ID4zhYT,1062000,72.0,4.0,6,6.0,2025.0,apartment,,urban,PRIMARY,to_completion,1,1,1,gdansk,,pomorskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-54m2-balkon-bez-prowizji-ID4yMEG,503781,54.17,2.0,2,2.0,2027.0,ribbon,other,gas,PRIMARY,to_completion,0,1,1,siemianowice-slaskie,,slaskie
https://www.otodom.pl/pl/oferta/w-slawka-nowy-umeblowany-3-pok-0-pcc-garaz-ID4yPde,1275000,64.85,3.0,4,7.0,2024.0,apartment,other,urban,SECONDARY,ready_to_use,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-49m2-balkon-bezposrednio-ID4x6nF,478464,49.84,3.0,1,3.0,2027.0,block,,,PRIMARY,to_completion,1,1,1,bedzin,,slaskie
https://www.otodom.pl/pl/oferta/mieszkanie-po-pozarze-do-remontu-mozliwosc-3-pokoi-ID4yU1S,99000,35.43,2.0,2,2.0,,tenement,brick,,SECONDARY,to_renovation,0,0,0,gorzow-wielkopolski,,lubuskie
https://www.otodom.pl/pl/oferta/legionowo-4-pok-centrum-63-5m2-loggia-piwnica-ID4xe8q,555000,63.5,4.0,4,4.0,1977.0,block,concrete_plate,other,SECONDARY,,0,1,0,legionowo,Jagiellońska,mazowieckie
https://www.otodom.pl/pl/oferta/nowoczesny-elegancki-widok-na-las-taras-ID4ubty,1549000,110.1,4.0,1,2.0,2020.0,apartment,breezeblock,gas,SECONDARY,ready_to_use,0,1,1,krakow,,malopolskie
https://www.otodom.pl/hpr/pl/oferta/nowoczesne-m4-w-centrum-okolice-jasnej-gory-ID4yPSi,419999,51.0,3.0,3,4.0,,block,,,SECONDARY,,0,1,0,czestochowa,,slaskie
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-do-remontu-i-pietro-w-spokojnej-czesci-bytomia-ID4zhYU,162000,36.7,2.0,1,4.0,1970.0,block,brick,urban,SECONDARY,to_renovation,0,1,0,bytom,Śródmieście,slaskie
https://www.otodom.pl/pl/oferta/chelmonskiego-79m-4-pok-dwa-poziomy-garaz-ID4yEOI,1130000,79.73,4.0,1,2.0,2008.0,apartment,other,other,SECONDARY,ready_to_use,0,1,1,krakow,,malopolskie
